order_id,order_date,customer_segment,city,category,quantity,unit_price,discount_pct,payment_status,year,month,month_name,gross_sales,discount_amount,net_sales
RT-1001,2026-01-03,Student,Chennai,Learning Kit,2.0,799,10.0,Paid,2026,1,January,1598.0,159.8,1438.2
RT-1002,2026-01-09,Fresher,Bengaluru,Course Access,1.0,1499,0.0,Paid,2026,1,January,1499.0,0.0,1499.0
RT-1003,2026-01-05,Student,Chennai,Course Access,1.0,1499,0.0,Pending,2026,1,January,1499.0,0.0,1499.0
RT-1004,2026-01-07,Professional,Hyderabad,Learning Kit,3.0,799,5.0,Paid,2026,1,January,2397.0,119.85,2277.15
RT-1005,2026-01-09,Fresher,Unknown,Mentor Session,1.0,999,0.0,Failed,2026,1,January,999.0,0.0,999.0
RT-1007,2026-01-12,Professional,Mumbai,Mentor Session,2.0,999,100.0,Paid,2026,1,January,1998.0,1998.0,0.0
RT-1008,2026-01-14,Fresher,Bengaluru,Course Access,1.0,1499,0.0,Pending,2026,1,January,1499.0,0.0,1499.0
RT-1009,2026-01-16,Student,Chennai,Learning Kit,1.0,799,0.0,Paid,2026,1,January,799.0,0.0,799.0
RT-1010,2026-01-18,Professional,Delhi,Course Access,2.0,1499,15.0,Refunded,2026,1,January,2998.0,449.7,2548.3
RT-1011,2026-01-09,Student,Kochi,Mentor Session,1.0,999,0.0,Paid,2026,1,January,999.0,0.0,999.0
